year,average temperature
1908,10.4
1909,10.6
1910,10.3
1911,10.6
1912,10.1
1913,10
1914,12
1915,10.8
1916,10.9
1917,9.8
1918,10.5
1919,11.1
1920,11.4
1921,10.9
1922,10.8
1923,10.6
1924,11
1925,10.7
1926,10.5
1927,11
1928,11.1
1929,11.4
1930,11.8
1931,10.9
1932,11.6
1933,10.5
1934,10.1
1935,11.2
1936,9.8
1937,11.4
1938,10.9
1939,11.7
1940,10.8
1941,11.1
1942,10.9
1943,11.7
1944,10.9
1945,10.4
1946,11.3
1947,9.6
1948,11.7
1949,11.7
1954,11.4
1955,11.5
1956,10.1
1957,10.4
1958,11.6
1959,12
1960,12.1
1961,12.4
1962,11.7
1963,11.3
1964,12.2
1965,11.4
1966,11.5
1967,11.6
1968,11.8
1969,10.9
1970,11.4
1971,11.5
1972,11.9
1973,12
1974,11.1
1975,12.5
1976,11.5
1977,12.3
1978,12.4
1979,12.5
1980,10.8
1981,11.2
1982,12.5
1983,12.4
1984,11.6
1985,11.6
1986,11.2
1987,11.9
1988,12.1
1989,13
1990,12.8
1991,12.3
1992,12.5
1993,12
1994,13.5
1995,12.2
1996,12.2
1997,12.9
1998,13.8
1999,13.2
2000,12.7
2001,12.8
2002,12.9
2003,12.8
2004,13.3
2005,12.1
2006,13
2007,13.3
2008,12.9
2009,12.9
2010,12.1
2011,12
2012,12.2
2013,12.5
2014,13.4
2015,13.6
2016,13.6
2017,13
2018,12.9
2019,13.5
2020,13.2
2021,13.7
2022,13.2
1984,8.8
1985,8.9
1986,8.7
1987,9.5
1988,9.3
1989,10.2
1990,10
